student_id,year,past_ta,past_gr
S001,4,2,2
S002,4,2,2
S003,4,2,2
S004,4,0,4
S005,4,0,4
S006,4,0,4
S007,3,2,2
S008,3,0,4
S009,3,0,4
S010,3,3,1
S011,3,2,2
S012,3,3,1
S013,3,3,1
S014,3,3,1
S015,3,3,1
S016,3,2,2
S017,3,0,4
S018,3,2,2
S019,3,3,1
S020,2,2,2
S021,2,2,2
S022,2,2,2
S023,2,2,2
S024,2,2,2
S025,2,2,2
S026,2,2,2
S027,2,0,4
S028,2,0,4
S029,1,0,4
S030,1,0,4
S031,1,0,4
S032,1,0,4
S033,1,0,4
S034,1,0,4
S035,1,0,4
S036,1,0,4
S037,1,0,4
S038,1,0,4
S039,2,0,4
S040,2,0,4
