student_id,manual_ta,manual_gr,manual_e
S001,1,3,0
S002,1,3,0
S003,1,3,0
S004,3,0,1
S005,2,2,0
S006,2,0,2
S007,1,3,0
S008,3,0,1
S009,3,0,1
S010,0,4,0
S011,1,3,0
S012,0,4,0
S013,0,4,0
S014,0,4,0
S015,0,4,0
S016,1,3,0
S017,3,0,1
S018,1,3,0
S019,0,4,0
S020,1,3,0
S021,2,2,0
S022,2,2,0
S023,2,2,0
S024,1,3,0
S025,2,2,0
S026,0,4,0
S027,3,0,1
S028,2,1,1
S029,1,3,0
S030,1,3,0
S031,1,3,0
S032,1,3,0
S033,1,3,0
S034,1,3,0
S035,1,3,0
S036,1,3,0
S037,1,3,0
S038,1,3,0
S039,3,0,1
S040,3,0,1
