course_code,TA,GR,E
C01,0,8,3
C02,0,6,3
C03,0,3,2
C04,0,3,2
C05,0,4,2
C06,0,2,2
C07,2,5,2
C08,14,0,0
C09,11,8,3
C10,17,0,0
C11,10,0,0
C12,0,2,2
C13,0,3,2
C14,0,3,2
C15,0,2,2
C16,0,10,3
C17,0,10,3
C18,0,4,2
C19,0,7,3
