course_code,TA,GR,E
C01,0,6,2
C02,0,6,2
C03,11,9,2
C04,0,4,1
C05,0,3,1
C06,2,0,0
C07,0,4,1
C08,4,5,1
C09,9,6,2
C10,0,1,1
C11,0,3,1
C12,17,0,0
C13,0,10,2
C14,0,2,1
C15,0,1,1
C16,0,3,1
C17,0,2,1
C18,0,8,2
C19,12,8,2
