student_id,course_code,ta_units
S001,C12,1
S002,C12,1
S003,C19,1
S004,C03,3
S005,C06,2
S006,C19,2
S007,C12,1
S008,C12,3
S009,C03,3
S011,C19,1
S016,C12,1
S017,C09,3
S018,C12,1
S020,C19,1
S021,C12,2
S022,C19,2
S023,C12,2
S024,C09,1
S025,C12,2
S027,C19,3
S028,C08,2
S029,C19,1
S030,C03,1
S031,C03,1
S032,C08,1
S033,C12,1
S034,C09,1
S035,C08,1
S036,C12,1
S037,C12,1
S038,C09,1
S039,C09,3
S040,C03,3
